position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel,enwiki
Q89188775,Governor of Rafah Governorate,Q219060,State of Palestine,Q1074341,Rafah Governorate,,,,,,,,,,,
Q89188926,Governor of Deir al-Balah Governorate,Q219060,State of Palestine,Q592249,Deir al-Balah Governorate,,,,,,,,,,,
Q89834132,Governor of Ramallah and al-Bireh Governorate,Q219060,State of Palestine,Q1093166,Ramallah and al-Bireh Governorate,,,,,,,,,,,
Q91013706,Governor of Nablus Governorate,Q219060,State of Palestine,Q1074138,Nablus Governorate,,,,,,,,,,,
Q91668102,ambassador of Palestine to Libya,Q219060,State of Palestine,,,,,,,,,,,,,
Q96406592,member of the Palestinian Legislative Council,Q219060,State of Palestine,,,,,,,,,,,,,
Q96481388,Q96481388,Q219060,State of Palestine,,,,,,,,,,,,,
Q96677747,Q96677747,Q219060,State of Palestine,Q519311,Jenin Governorate,,,,,,,,,,,
Q96758260,ambassador of Palestine to Venezuela,Q219060,State of Palestine,,,,,,,,,,,,,
Q96758262,ambassador of Palestine to Guyana,Q219060,State of Palestine,,,,,,,,,,,,,
Q96770960,ambassador of Palestine to Romania,Q219060,State of Palestine,,,,,,,,,,,,,
Q96771094,Q96771094,Q219060,State of Palestine,,,,,,,,,,,,,
Q97328236,Q97328236,Q219060,State of Palestine,Q247037,Bethlehem Governorate,,,,,,,,,,,
Q97328243,Q97328243,Q219060,State of Palestine,Q264180,Hebron Governorate,,,,,,,,,,,
Q97771761,Q97771761,Q219060,State of Palestine,Q658527,Jericho Governorate,,,,,,,,,,,
Q98918800,Governor of Gaza Governorate,Q219060,State of Palestine,Q762573,Gaza Governorate,,,,,,,,,,,
Q98923074,Ambassador of Palestine to Jordan,Q219060,State of Palestine,,,,,,,,,,,,,
Q99894834,ministre des Affaires de Jérusalem,Q219060,State of Palestine,,,,,,,,,,,,,
Q99896049,Q99896049,Q219060,State of Palestine,Q948026,Khan Yunis Governorate,,,,,,,,,,,
Q99947721,Q99947721,Q219060,State of Palestine,Q181636,North Gaza Governorate,1996-09-15,,,,,,,,,,
Q99980516,Q99980516,,,,,,,,,,,,,,,
Q100151852,ambassador of Palestine to Iraq,Q219060,State of Palestine,,,,,,,,,,,,,
Q100151869,ambassador of Palestine to Tunisia,Q219060,State of Palestine,,,,,,,,,,,,,
Q100151870,ambassadeur de Palestine au Liban,Q219060,State of Palestine,,,,,,,,,,,,,
Q100151871,délégué général de Palestine en France,Q219060,State of Palestine,,,1969-01-01,,,,,,,,,,
Q100151872,ambassadeur de Palestine en Allemagne,Q219060,State of Palestine,,,,,,,,,,,,,
Q100151876,ambassadeur de Palestine au Koweït,Q219060,State of Palestine,,,,,,,,,,,,,
Q100255679,ambassadeur de Palestine en Afrique du Sud,Q219060,State of Palestine,,,,,,,,,,,,,
Q100268457,Palestine ambassador to  Italy,Q219060,State of Palestine,,,,,,,,,,,,,
Q100556190,ambassadeur de Palestine en Grèce,Q219060,State of Palestine,,,,,,,,,,,,,
Q100605583,Minister of Negotiations Affairs,,,,,,,,,,,,,,,
Q100704932,Ambassador of Palestine to Pakistan,Q219060,State of Palestine,,,,,,,,,,,,,
Q100723462,Q100723462,Q219060,State of Palestine,,,,,,,,,,,,,
Q100723464,Q100723464,Q219060,State of Palestine,,,,,,,,,,,,,
Q100723466,Q100723466,Q219060,State of Palestine,,,,,,,,,,,,,
Q100742713,Q100742713,Q219060,State of Palestine,,,,,,,,,,,,,
Q100743864,Ambassador of Palestine to Sudan,Q219060,State of Palestine,,,,,,,,,,,,,
Q100790493,Ambassador of Palestine in Iran,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997842,Q100997842,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997844,Q100997844,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997845,Palestinian Ambassador to Peru,Q219060,State of Palestine,Q419,Peru,,,,,,,,,,,
Q100997852,Q100997852,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997853,ambassador of Palestine to Brazil,Q219060,State of Palestine,Q155,Brazil,,,,,,,,,,,
Q100997863,Q100997863,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997864,Q100997864,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997865,Q100997865,Q219060,State of Palestine,,,,,,,,,,,,,
Q100997867,Q100997867,Q219060,State of Palestine,,,,,,,,,,,,,
Q101069519,Q101069519,Q219060,State of Palestine,,,,,,,,,,,,,
Q101072442,ambassadeur de Palestine en Irlande,Q219060,State of Palestine,,,,,,,,,,,,,
Q101072444,Q101072444,,,,,,,,,,,,,,,
Q101086073,ambassadeur de Palestine en Russie,Q219060,State of Palestine,,,,,,,,,,,,,
Q101086085,Palestinian Ambassador to Turkey,Q219060,State of Palestine,,,,,,,,,,,,,
Q101094692,ambassador of Palestine to Saudi Arabia,Q219060,State of Palestine,,,,,,,,,,,,,
Q101094694,Palestinian ambassador to Yemen,Q219060,State of Palestine,,,,,,,,,,,,,
Q101094727,Q101094727,,,,,,,,,,,,,,,
Q101094728,Q101094728,Q219060,State of Palestine,,,,,,,,,,,,,
Q101095241,ambassador of Palestine to Hungary,Q28,Hungary,,,,,,,,,,,,,
Q101095257,ambassador of Palestine to Norway,Q219060,State of Palestine,,,1986-01-01,,,,,,,,,,
Q101095264,ambassador of Palestine to Iceland,Q219060,State of Palestine,,,,,,,,,,,,,
Q101095348,Q101095348,,,,,,,,,,,,,,,
Q101095357,ambassadeur de Palestine au Danemark,Q219060,State of Palestine,,,,,,,,,,,,,
Q101098284,Q101098284,,,,,,,,,,,,,,,
Q101800517,Q101800517,Q219060,State of Palestine,,,,,,,,,,,,,
Q101960214,Q101960214,Q219060,State of Palestine,,,1965-01-01,,,,,,,,,,
Q101960249,Q101960249,Q219060,State of Palestine,,,,,,,,,,,,,
Q102015222,Q102015222,,,,,,,,,,,,,,,
Q102016481,Q102016481,Q219060,State of Palestine,,,1993-06-01,,,,,,,,,,
Q102016527,Q102016527,Q219060,State of Palestine,,,,,,,,,,,,,
Q102016573,Q102016573,,,,,,,,,,,,,,,
Q102018856,Q102018856,Q219060,State of Palestine,,,,,,,,,,,,,
Q102022723,посол Государства Палестина в Узбекистане,Q219060,State of Palestine,,,,,,,,,,,,,
Q102047538,Q102047538,,,,,,,,,,,,,,,
Q102047634,Q102047634,Q219060,State of Palestine,,,,,,,,,,,,,
Q102047638,Ambassador of Palestine to Belarus,,,,,,,,,,,,,,,
Q102047690,Q102047690,,,,,,,,,,,,,,,
Q102047710,ambassador of Palestine to Turkmenistan,Q219060,State of Palestine,,,,,,,,,,,,,
Q102047712,Q102047712,Q219060,State of Palestine,,,,,,,,,,,,,
Q102047715,Q102047715,,,,,,,,,,,,,,,
Q102047807,ambassador of Palestine to Belgium,,,,,,,,,,,,,,,
Q102047809,Q102047809,,,,,,,,,,,,,,,
Q102047810,ambassadeur de Palestine auprès de l'Union Européenne,Q219060,State of Palestine,,,2015-01-01,,,,,,,,,,
Q102047924,Ambassador of Palestine to Sweden,Q219060,State of Palestine,,,,,,,,,,,,,
Q102064412,ambassador of Palestine  to North Korea,Q219060,State of Palestine,,,,,,,,,,,,,
Q102064433,ambassador of Palestine to Bulgaria,Q219060,State of Palestine,,,,,,,,,,,,,
Q102176935,Q102176935,Q219060,State of Palestine,,,1976-01-01,,,,,,,,,,
Q102177556,ambassador of Palestine to Bangladesh,Q219060,State of Palestine,,,,,,,,,,,,,
Q102177640,ambassador of Palestine to Portugal,Q219060,State of Palestine,Q45,Portugal,,,,,,,,,,,
Q104093970,Ambassador of Palestine to Morocco,Q219060,State of Palestine,Q29512355,"Embassy of the State of Palestine, Rabat",1988-01-01,,,,,,,,,,
Q104208138,Q104208138,Q219060,State of Palestine,,,,,,,,,,,,,
Q104208141,Ambassador of Palestine to Tanzania,Q219060,State of Palestine,,,,,,,,,,,,,
Q104208742,Q104208742,,,,,,,,,,,,,,,
Q104208758,Ambassador of Palestine to Seychelles,Q219060,State of Palestine,,,,,,,,,,,,,
Q104208766,Q104208766,Q219060,State of Palestine,,,,,,,,,,,,,
Q104208778,ambassador of Palestine to Ethiopia,Q219060,State of Palestine,,,,,,,,,,,,,
Q104209448,Q104209448,,,,,,,,,,,,,,,
Q104214655,Q104214655,,,,,,,,,,,,,,,
Q104218078,ambassadeur de Palestine au Pays-Bas,Q219060,State of Palestine,,,,,,,,,,,,,
Q104218271,Q104218271,,,,,,,,,,,,,,,
Q104223325,ambassadeur de Palestine à Oman,Q219060,State of Palestine,,,,,,,,,,,,,
Q104223796,Q104223796,Q219060,State of Palestine,,,,,,,,,,,,,
Q104760728,Q104760728,,,,,,,,,,,,,,,
Q104812774,Q104812774,,,,,,,,,,,,,,,
Q104812775,Q104812775,Q219060,State of Palestine,,,,,,,,,,,,,
Q104839968,Q104839968,,,,,,,,,,,,,,,
Q105412564,Q105412564,Q219060,State of Palestine,,,,,,,,,,,,,
Q105454511,Q105454511,,,,,,,,,,,,,,,
Q106430815,ambassador of Palestine to Malaysia,Q219060,State of Palestine,,,,,,,,,,,,,
Q106519598,ambassador of Palestine to Syria,Q219060,State of Palestine,,,,,,,,,,,,,
Q106522363,Q106522363,,,,,,,,,,,,,,,
Q106653101,Q106653101,,,,,,,,,,,,,,,
Q106660354,ambassador of Palestine  to Bahrain,Q219060,State of Palestine,,,,,,,,,,,,,
Q106660858,ambassador of Palestine to Slovakia,,,,,,,,,,,,,,,
Q106678791,Q106678791,Q219060,State of Palestine,,,,,,,,,,,,,
Q106678888,Q106678888,Q219060,State of Palestine,,,,,,,,,,,,,
Q106679636,Q106679636,Q219060,State of Palestine,,,,,,,,,,,,,
Q106679738,Palestinian Ambassador to Lesotho,Q219060,State of Palestine,,,,,,,,,,,,,
Q106680466,Q106680466,Q219060,State of Palestine,,,,,,,,,,,,,
Q106747506,Q106747506,Q219060,State of Palestine,,,2014-01-01,,,,,,,,,,
Q106777270,Q106777270,Q219060,State of Palestine,,,,,,,,,,,,,
Q106798776,ambassador of Palestine to the Holy See,Q219060,State of Palestine,,,,,,,,,,,,,
Q106862726,Q106862726,Q219060,State of Palestine,,,,,,,,,,,,,
Q106862734,Q106862734,Q219060,State of Palestine,,,,,,,,,,,,,
Q106862751,Q106862751,Q219060,State of Palestine,,,,,,,,,,,,,
Q106937730,Q106937730,Q219060,State of Palestine,,,,,,,,,,,,,
Q106941930,Q106941930,Q219060,State of Palestine,,,,,,,,,,,,,
Q107001156,Q107001156,Q219060,State of Palestine,,,,,,,,,,,,,
Q107456235,Ambassador of Palestine to Ukraine,Q219060,State of Palestine,,,,,,,,,,,,,
Q107600545,Q107600545,Q219060,State of Palestine,,,,,,,,,,,,,
Q107625998,Q107625998,Q219060,State of Palestine,,,,,,,,,,,,,
Q108552993,ambassador of Palestine to Switzerland,Q219060,State of Palestine,,,,,,,,,,,,,
Q108730496,Minister of Tourism and Antiquities,,,Q219060,State of Palestine,,,,,,,,,,,
Q111812570,President of the Palestinian National Council,Q219060,State of Palestine,,,,,,,,,,,,,
Q113470520,Defence Minister of the State of Palestine,,,Q219060,State of Palestine,,,,,,,,,,,
Q113470524,Foreign Minister of State of Palestine,,,Q219060,State of Palestine,,,,,,,,,,,
Q113928357,Q113928357,,,,,,,,,,,,,,,
Q116311916,ambassador of Palestine to Chad,,,,,,,,,,,,,,,
Q116311917,ambassador of Palestine to Burkina Faso,,,,,,,,,,,,,,,
Q116311918,ambassador of Palestine to Niger,,,,,,,,,,,,,,,
Q116311920,ambassador of Palestine to Ivory Coast,,,,,,,,,,,,,,,
Q116922055,ambassador of Palestine to Djibouti,,,,,,,,,,,,,,,
Q116938673,ambassador of Palestine to South Sudan,,,,,,,,,,,,,,,
